#name	name2
NM_001276352.2	C1orf141
NM_001276351.2	C1orf141
NR_075077.2	C1orf141
XM_011541469.1	C1orf141
XM_011541467.1	C1orf141
XM_017001276.1	C1orf141
XM_011541465.2	C1orf141
XM_011541466.2	C1orf141
XM_017001277.1	C1orf141
XM_011541473.2	C1orf141
XM_011541472.1	C1orf141
NM_000299.3	PKP1
NM_001005337.3	PKP1
NM_001042682.2	RERE
NM_012102.4	RERE
NM_001042681.2	RERE
NM_001281956.1	CSMD2
NM_052896.4	CSMD2
XM_024452878.1	CSMD2
XM_017000185.1	CSMD2
XM_017000190.1	CSMD2
XM_017000188.1	CSMD2
XR_002959291.1	CSMD2
XR_002959290.1	CSMD2
XR_002959296.1	CSMD2
XR_002959295.1	CSMD2
XM_017000191.1	CSMD2
XM_011541884.2	HIVEP3
NR_038261.2	HIVEP3
XR_002958555.1	LOC112268263
NM_001320285.2	SLC44A5
NM_001320287.2	SLC44A5
NM_001130058.2	SLC44A5
XM_011540987.2	SLC44A5
XM_017000611.1	SLC44A5
XM_017000608.1	SLC44A5
XM_017000607.1	SLC44A5
XM_017000609.1	SLC44A5
XM_017000610.1	SLC44A5
NM_152697.5	SLC44A5
NM_001320283.2	SLC44A5
XM_017002349.2	TTLL7
XM_024449807.1	TTLL7
XR_001737410.2	TTLL7
XR_946760.3	TTLL7
XR_001737409.2	TTLL7
XR_946758.3	TTLL7
XR_001737413.2	TTLL7
XR_001737412.2	TTLL7
XR_001737414.2	TTLL7
XR_001737411.2	TTLL7
NM_001350214.2	TTLL7
NM_024686.6	TTLL7
NM_001350215.2	TTLL7
XM_017000140.1	GLMN
XM_017000143.1	GLMN
XM_017000139.1	GLMN
XM_017000137.1	GLMN
XM_017000138.1	GLMN
XM_017000144.1	GLMN
XM_006710309.2	GLMN
XM_017000142.1	GLMN
XM_005270401.3	GLMN
XM_017000141.1	GLMN
XM_011540546.2	GLMN
XR_002959248.1	GLMN
XR_002959249.1	GLMN
NM_001319683.1	GLMN
NR_135089.1	GLMN
NM_053274.3	GLMN
XM_017000115.1	MAN1A2
XM_011540536.3	MAN1A2
XR_001736939.1	MAN1A2
XM_006710302.3	MAN1A2
NM_006699.5	MAN1A2
XM_011510058.3	ANXA9
NM_003568.3	ANXA9
NM_001146191.2	MPZL1
NM_024569.5	MPZL1
NM_003953.6	MPZL1
NM_001001740.3	COP1
NM_001286644.1	COP1
XM_017002076.1	COP1
NM_022457.7	COP1
XM_011509881.2	COP1
XM_005245448.3	COP1
XM_006711487.3	COP1
XM_005245447.3	COP1
